Zone,Area,Crime_Type,Time,Date,Status
Central Nagpur,Mahal,Chain Snatching,12:00,2025-03-03,Resolved
North-East Nagpur,Kamptee Road,Harassment,20:15,2025-04-24,Pending
North-West Nagpur,Lonara,Theft,04:15,2025-05-20,Resolved
North-West Nagpur,Lonara,Chain Snatching,11:30,2025-04-17,Resolved
Central Nagpur,Mahal,Chain Snatching,19:45,2025-04-23,Resolved
North-West Nagpur,Lonara,Fraud,20:45,2025-04-27,Resolved
Central Nagpur,Mahal,Chain Snatching,21:15,2025-01-18,Resolved
Central Nagpur,Sitabuldi,,02:00,2025-07-01,Pending
North-East Nagpur,Vaishali Nagar,Assault,04:30,2025-03-11,Pending
North-East Nagpur,Kharbi,Chain Snatching,12:45,2025-02-06,Resolved
North-West Nagpur,Lonara,Robbery,22:30,2025-04-01,Resolved
North-East Nagpur,Binaki,Chain Snatching,05:00,2025-04-25,Resolved
South-West Nagpur,Manish Nagar,Assault,21:15,2025-04-17,Pending
South-West Nagpur,Manish Nagar,Theft,15:45,2025-04-21,Resolved
South-West Nagpur,Sneha Nagar,Robbery,00:15,2025-05-16,Resolved
North-East Nagpur,Kharbi,Theft,15:30,2025-06-22,Pending
North-West Nagpur,Lonara,Chain Snatching,11:00,2025-06-11,Resolved
Central Nagpur,Sitabuldi,Assault,10:15,2025-04-25,Pending
North-West Nagpur,Borgaon,Assault,04:30,2025-01-21,Pending
Central Nagpur,Ganeshpeth,Fraud,00:45,2025-04-04,Pending
South-West Nagpur,Pratap Nagar,Robbery,00:45,2025-06-01,Resolved
South-West Nagpur,Sneha Nagar,Harassment,08:30,2025-02-22,Pending
North-West Nagpur,Borgaon,Chain Snatching,23:30,2025-01-23,Pending
North-West Nagpur,Lonara,Chain Snatching,07:00,2025-02-01,Resolved
South-West Nagpur,Sneha Nagar,Robbery,01:15,2025-01-26,Pending
Central Nagpur,Ganeshpeth,,08:15,2025-03-22,Pending
South-West Nagpur,Manish Nagar,Theft,01:45,2025-02-11,Pending
Central Nagpur,Ganeshpeth,Chain Snatching,17:15,2025-03-09,Pending
South-West Nagpur,Manish Nagar,Robbery,20:15,2025-03-02,Resolved
North-West Nagpur,Borgaon,,00:30,2025-03-26,Pending
North-East Nagpur,Binaki,Robbery,00:15,2025-04-20,Resolved
South-West Nagpur,Sneha Nagar,Fraud,02:00,2025-06-16,Resolved
North-East Nagpur,Vaishali Nagar,Theft,12:00,2025-03-01,Resolved
North-West Nagpur,Kalmeshwar,Chain Snatching,09:30,2025-03-01,Pending
North-East Nagpur,Binaki,Chain Snatching,20:45,2025-03-21,Pending
North-East Nagpur,Binaki,Chain Snatching,04:15,2025-02-16,Resolved
South-West Nagpur,Pratap Nagar,Fraud,09:30,2025-05-19,Pending
North-West Nagpur,Kalmeshwar,Chain Snatching,23:00,2025-02-01,Pending
South-West Nagpur,Trimurti Nagar,Assault,13:45,2025-03-31,Pending
Central Nagpur,Ganeshpeth,Fraud,12:15,2025-02-09,Resolved
North-East Nagpur,Binaki,Fraud,01:45,2025-03-06,Pending
South-West Nagpur,Pratap Nagar,Assault,07:30,2025-04-22,Resolved
North-East Nagpur,Binaki,Theft,01:15,,Resolved
North-West Nagpur,Lonara,Harassment,04:30,2025-04-24,Pending
Central Nagpur,Reshimbagh,Harassment,15:15,2025-07-06,Resolved
North-East Nagpur,Vaishali Nagar,Robbery,03:45,,Pending
South-West Nagpur,Manish Nagar,Assault,00:15,2025-02-20,Resolved
North-West Nagpur,Nara,Fraud,,2025-03-11,Pending
Central Nagpur,Mahal,Robbery,13:15,2025-06-17,Resolved
Central Nagpur,Sitabuldi,Assault,13:45,2025-03-02,Resolved
North-East Nagpur,Vaishali Nagar,Assault,09:15,2025-01-08,Pending
North-East Nagpur,Binaki,Harassment,00:15,2025-01-24,Resolved
South-West Nagpur,Pratap Nagar,Assault,10:45,2025-03-03,Resolved
North-East Nagpur,Binaki,Fraud,06:15,2025-02-22,Resolved
South-West Nagpur,Pratap Nagar,Theft,07:00,2025-03-12,Pending
North-East Nagpur,Kamptee Road,Theft,13:30,2025-06-08,Resolved
North-East Nagpur,Binaki,Fraud,,2025-01-08,Resolved
South-West Nagpur,Manish Nagar,Robbery,17:15,2025-02-27,Resolved
North-East Nagpur,Binaki,,07:00,2025-05-28,Resolved
North-West Nagpur,Kalmeshwar,Harassment,08:00,2025-06-14,Pending
South-West Nagpur,Sneha Nagar,Chain Snatching,15:45,2025-03-11,Pending
South-West Nagpur,Sneha Nagar,Theft,06:15,2025-06-10,Pending
Central Nagpur,Ganeshpeth,Harassment,14:45,2025-03-28,Resolved
South-West Nagpur,Manish Nagar,Robbery,,2025-04-29,Resolved
Central Nagpur,Sitabuldi,Chain Snatching,08:45,,Pending
North-West Nagpur,Kalmeshwar,Assault,22:30,2025-04-23,Resolved
North-West Nagpur,Kalmeshwar,Assault,07:30,2025-04-02,Pending
South-West Nagpur,Trimurti Nagar,Harassment,23:00,2025-05-20,Pending
Central Nagpur,Reshimbagh,Assault,20:45,2025-05-17,Pending
Central Nagpur,Sitabuldi,Assault,23:45,2025-01-06,Resolved
North-West Nagpur,Kalmeshwar,Chain Snatching,16:15,2025-01-21,Resolved
North-West Nagpur,Kalmeshwar,Harassment,16:00,2025-05-19,Resolved
South-West Nagpur,Trimurti Nagar,Harassment,02:15,2025-01-28,Resolved
North-East Nagpur,Kharbi,Robbery,03:00,2025-01-20,Pending
Central Nagpur,Mahal,Fraud,07:00,2025-04-28,Resolved
Central Nagpur,Sitabuldi,Chain Snatching,08:45,2025-05-27,Resolved
South-West Nagpur,Trimurti Nagar,Robbery,15:15,2025-03-23,Pending
North-West Nagpur,Borgaon,Harassment,14:00,2025-06-11,Resolved
Central Nagpur,Sitabuldi,Robbery,22:45,2025-03-16,Pending
North-East Nagpur,Vaishali Nagar,Fraud,16:15,2025-05-06,Pending
North-West Nagpur,Kalmeshwar,Fraud,08:15,2025-02-18,Pending
North-East Nagpur,Vaishali Nagar,Chain Snatching,00:15,2025-03-09,Resolved
South-West Nagpur,Sneha Nagar,Harassment,03:15,2025-03-25,Resolved
South-West Nagpur,Pratap Nagar,Fraud,21:15,2025-06-05,Resolved
Central Nagpur,Sitabuldi,Chain Snatching,14:45,2025-04-08,Resolved
North-East Nagpur,Kamptee Road,Assault,02:00,2025-02-25,Pending
North-East Nagpur,Kamptee Road,Theft,20:00,2025-01-08,Pending
Central Nagpur,Ganeshpeth,Assault,22:45,2025-06-11,Pending
North-East Nagpur,Kamptee Road,Theft,06:00,2025-02-15,Pending
Central Nagpur,Reshimbagh,Robbery,01:30,,Pending
North-West Nagpur,Nara,Assault,18:15,2025-04-15,Resolved
South-West Nagpur,Pratap Nagar,Chain Snatching,19:30,2025-02-23,Pending
North-West Nagpur,Borgaon,Chain Snatching,03:15,2025-06-30,Resolved
North-West Nagpur,Nara,Robbery,15:45,2025-04-26,Pending
Central Nagpur,Mahal,Chain Snatching,17:00,2025-01-12,Resolved
South-West Nagpur,Sneha Nagar,Chain Snatching,15:00,2025-02-22,Resolved
North-West Nagpur,Lonara,Chain Snatching,22:15,2025-03-11,Pending
South-West Nagpur,Pratap Nagar,Theft,14:45,2025-01-06,Resolved
Central Nagpur,Reshimbagh,Chain Snatching,17:00,2025-05-24,Pending
North-East Nagpur,Kharbi,Fraud,03:15,2025-05-22,Resolved
South-West Nagpur,Pratap Nagar,Chain Snatching,21:30,2025-04-13,Pending
South-West Nagpur,Pratap Nagar,Assault,,2025-02-09,Resolved
North-East Nagpur,Kamptee Road,Fraud,09:15,2025-03-16,Pending
North-West Nagpur,Kalmeshwar,Theft,,2025-04-08,Pending
North-West Nagpur,Nara,Theft,17:45,2025-04-29,Resolved
Central Nagpur,Sitabuldi,Harassment,01:30,2025-06-21,Pending
North-East Nagpur,Kharbi,Harassment,02:30,2025-04-26,Resolved
Central Nagpur,Mahal,Fraud,13:30,2025-04-14,Resolved
North-West Nagpur,Nara,Theft,20:15,2025-01-08,Resolved
North-East Nagpur,Kamptee Road,,11:45,2025-06-30,Resolved
South-West Nagpur,Manish Nagar,Fraud,21:15,2025-06-27,Pending
North-West Nagpur,Borgaon,Robbery,10:30,2025-06-12,Pending
South-West Nagpur,Trimurti Nagar,Assault,14:30,2025-07-01,Pending
Central Nagpur,Ganeshpeth,Fraud,12:15,2025-06-03,Pending
Central Nagpur,Sitabuldi,Chain Snatching,16:15,2025-02-16,Pending
Central Nagpur,Reshimbagh,Robbery,22:45,,Pending
North-East Nagpur,Binaki,Harassment,12:00,2025-02-23,Resolved
South-West Nagpur,Trimurti Nagar,Theft,02:45,,Pending
North-West Nagpur,Lonara,Fraud,08:00,2025-07-02,Resolved
South-West Nagpur,Pratap Nagar,Theft,20:00,2025-03-16,Pending
North-West Nagpur,Lonara,Chain Snatching,10:00,2025-04-15,Pending
Central Nagpur,Reshimbagh,,,2025-05-13,Resolved
South-West Nagpur,Pratap Nagar,Chain Snatching,06:30,2025-05-15,Resolved
South-West Nagpur,Manish Nagar,Theft,11:00,2025-07-06,Resolved
North-West Nagpur,Borgaon,Chain Snatching,17:00,2025-04-07,Pending
North-West Nagpur,Lonara,Fraud,14:15,2025-05-05,Pending
North-West Nagpur,Nara,Robbery,23:30,2025-04-08,Pending
North-East Nagpur,Binaki,Fraud,03:45,2025-07-06,Pending
Central Nagpur,Reshimbagh,Assault,11:45,2025-03-15,Pending
Central Nagpur,Sitabuldi,Theft,09:45,2025-03-15,Resolved
North-East Nagpur,Kamptee Road,Assault,05:15,2025-04-27,Resolved
North-West Nagpur,Kalmeshwar,Chain Snatching,16:30,2025-07-02,Pending
North-West Nagpur,Kalmeshwar,Fraud,05:45,2025-05-25,Resolved
North-East Nagpur,Binaki,Chain Snatching,02:45,2025-05-21,Pending
North-East Nagpur,Binaki,Robbery,16:30,2025-06-18,Resolved
Central Nagpur,Sitabuldi,Theft,06:00,2025-03-02,Resolved
North-West Nagpur,Kalmeshwar,Chain Snatching,09:15,2025-06-24,Pending
North-West Nagpur,Borgaon,Harassment,22:30,2025-01-09,Pending
North-East Nagpur,Kharbi,Theft,13:15,2025-04-05,Resolved
South-West Nagpur,Manish Nagar,Robbery,18:45,2025-03-04,Pending
North-West Nagpur,Nara,Harassment,11:00,2025-03-25,Pending
South-West Nagpur,Trimurti Nagar,Chain Snatching,17:15,2025-03-23,Resolved
North-East Nagpur,Kharbi,Assault,19:45,2025-02-13,Resolved
North-West Nagpur,Lonara,Fraud,03:45,,Resolved
North-East Nagpur,Binaki,Chain Snatching,13:00,2025-04-26,Resolved
South-West Nagpur,Sneha Nagar,,16:45,2025-05-19,Resolved
North-East Nagpur,Kharbi,Theft,21:45,2025-05-17,Resolved
North-West Nagpur,Nara,Harassment,,2025-02-27,Resolved
Central Nagpur,Reshimbagh,Harassment,19:00,2025-01-10,Pending
Central Nagpur,Reshimbagh,Fraud,08:45,2025-03-05,Resolved
North-East Nagpur,Vaishali Nagar,Harassment,22:00,2025-03-22,Pending
South-West Nagpur,Manish Nagar,Theft,17:00,2025-02-04,Resolved
Central Nagpur,Ganeshpeth,Harassment,23:45,2025-01-12,Pending
South-West Nagpur,Sneha Nagar,Fraud,06:45,2025-03-24,Resolved
North-West Nagpur,Kalmeshwar,Robbery,16:30,2025-01-10,Pending
North-West Nagpur,Borgaon,Chain Snatching,20:00,2025-05-30,Pending
Central Nagpur,Sitabuldi,Fraud,23:00,2025-03-27,Pending
South-West Nagpur,Trimurti Nagar,Assault,10:00,2025-02-06,Pending
North-East Nagpur,Vaishali Nagar,Assault,,2025-01-24,Resolved
South-West Nagpur,Sneha Nagar,Harassment,06:15,2025-03-16,Resolved
South-West Nagpur,Sneha Nagar,Assault,03:45,2025-03-15,Resolved
South-West Nagpur,Pratap Nagar,Chain Snatching,14:45,2025-07-02,Resolved
South-West Nagpur,Manish Nagar,,21:30,2025-06-27,Pending
North-East Nagpur,Vaishali Nagar,Fraud,09:00,2025-06-06,Resolved
North-West Nagpur,Borgaon,Theft,10:45,2025-04-21,Resolved
North-West Nagpur,Kalmeshwar,Robbery,18:15,2025-04-19,Resolved
Central Nagpur,Sitabuldi,Harassment,21:00,2025-01-30,Resolved
North-East Nagpur,Kamptee Road,Assault,07:45,,Pending
Central Nagpur,Reshimbagh,Harassment,06:00,2025-01-08,Pending
North-West Nagpur,Nara,Assault,04:45,2025-03-31,Resolved
North-East Nagpur,Kharbi,Fraud,11:15,2025-02-06,Resolved
Central Nagpur,Mahal,Assault,,2025-06-17,Resolved
South-West Nagpur,Manish Nagar,Fraud,03:30,2025-01-10,Pending
South-West Nagpur,Trimurti Nagar,Harassment,15:00,2025-01-19,Resolved
North-West Nagpur,Lonara,Harassment,15:30,2025-02-27,Resolved
North-East Nagpur,Vaishali Nagar,Robbery,15:30,2025-02-03,Pending
South-West Nagpur,Pratap Nagar,Robbery,22:15,2025-04-03,Resolved
Central Nagpur,Sitabuldi,Fraud,,2025-06-09,Resolved
North-East Nagpur,Kharbi,Assault,23:45,2025-03-12,Pending
North-West Nagpur,Borgaon,Chain Snatching,18:00,2025-03-12,Pending
North-West Nagpur,Kalmeshwar,Chain Snatching,20:45,2025-03-03,Resolved
North-East Nagpur,Binaki,Assault,13:00,2025-06-18,Pending
South-West Nagpur,Trimurti Nagar,Robbery,16:15,2025-07-02,Resolved
North-East Nagpur,Vaishali Nagar,Chain Snatching,04:00,2025-03-02,Pending
Central Nagpur,Ganeshpeth,Robbery,14:30,2025-01-30,Pending
South-West Nagpur,Trimurti Nagar,Harassment,04:15,2025-03-04,Pending
Central Nagpur,Reshimbagh,Chain Snatching,02:45,2025-03-08,Resolved
South-West Nagpur,Trimurti Nagar,Fraud,06:15,2025-03-06,Pending
South-West Nagpur,Pratap Nagar,Robbery,20:15,2025-06-17,Pending
North-West Nagpur,Kalmeshwar,Chain Snatching,10:30,2025-04-30,Pending
Central Nagpur,Sitabuldi,Fraud,11:30,2025-01-24,Resolved
South-West Nagpur,Sneha Nagar,Fraud,09:30,2025-03-12,Resolved
North-West Nagpur,Borgaon,Theft,12:00,2025-02-28,Pending
North-West Nagpur,Borgaon,Fraud,,2025-03-14,Resolved
North-West Nagpur,Lonara,Harassment,19:15,2025-03-29,Resolved
Central Nagpur,Sitabuldi,Assault,22:00,2025-02-20,Resolved
South-West Nagpur,Manish Nagar,Chain Snatching,09:15,2025-06-07,Resolved
North-East Nagpur,Binaki,Theft,15:30,2025-01-14,Resolved
Central Nagpur,Reshimbagh,Harassment,05:45,2025-02-26,Pending
North-West Nagpur,Lonara,Chain Snatching,14:30,2025-04-23,Resolved
North-East Nagpur,Kamptee Road,Assault,21:30,2025-06-03,Pending
Central Nagpur,Ganeshpeth,Chain Snatching,15:45,2025-02-06,Resolved
North-East Nagpur,Vaishali Nagar,Theft,18:15,2025-02-11,Resolved
North-East Nagpur,Vaishali Nagar,Chain Snatching,18:45,2025-05-30,Pending
North-East Nagpur,Binaki,Chain Snatching,11:00,2025-05-23,Resolved
Central Nagpur,Ganeshpeth,Assault,21:45,2025-05-07,Resolved
North-East Nagpur,Vaishali Nagar,Chain Snatching,12:00,2025-06-12,Resolved
South-West Nagpur,Manish Nagar,Robbery,03:45,2025-04-23,Resolved
Central Nagpur,Mahal,Fraud,08:15,2025-05-03,Pending
South-West Nagpur,Pratap Nagar,Harassment,01:00,2025-03-09,Resolved
South-West Nagpur,Pratap Nagar,Assault,15:00,2025-05-28,Resolved
North-West Nagpur,Lonara,Robbery,11:45,2025-04-28,Pending
Central Nagpur,Reshimbagh,Fraud,04:00,2025-04-04,Resolved
Central Nagpur,Sitabuldi,Harassment,02:45,2025-03-15,Pending
South-West Nagpur,Trimurti Nagar,Theft,13:15,2025-02-10,Pending
South-West Nagpur,Sneha Nagar,Theft,19:30,2025-03-16,Pending
North-West Nagpur,Nara,Theft,14:45,2025-07-05,Pending
North-East Nagpur,Kamptee Road,Theft,02:00,2025-05-03,Pending
North-West Nagpur,Nara,Robbery,12:45,2025-03-01,Resolved
Central Nagpur,Mahal,Theft,06:45,2025-06-15,Resolved
North-East Nagpur,Vaishali Nagar,Chain Snatching,10:00,2025-03-08,Pending
North-West Nagpur,Lonara,Fraud,04:15,2025-03-18,Pending
Central Nagpur,Mahal,Robbery,00:30,2025-03-31,Resolved
North-East Nagpur,Kharbi,Chain Snatching,10:00,2025-04-11,Resolved
North-East Nagpur,Kharbi,Theft,,2025-05-29,Pending
North-West Nagpur,Nara,Assault,13:15,2025-04-14,Resolved
Central Nagpur,Reshimbagh,Chain Snatching,12:45,2025-01-27,Pending
North-West Nagpur,Lonara,Assault,17:45,2025-05-16,Resolved
South-West Nagpur,Trimurti Nagar,Harassment,,2025-02-12,Pending
South-West Nagpur,Pratap Nagar,Robbery,03:45,2025-04-07,Resolved
North-East Nagpur,Kamptee Road,Theft,,2025-02-26,Pending
North-West Nagpur,Lonara,Assault,13:30,2025-01-18,Resolved
North-West Nagpur,Lonara,Robbery,14:00,2025-06-15,Resolved
North-West Nagpur,Lonara,Robbery,23:30,2025-05-31,Pending
Central Nagpur,Ganeshpeth,Assault,12:30,2025-04-18,Resolved
South-West Nagpur,Manish Nagar,Robbery,18:15,2025-02-13,Resolved
North-East Nagpur,Kharbi,Theft,01:00,2025-03-22,Pending
North-East Nagpur,Kharbi,Robbery,14:30,2025-05-28,Pending
North-West Nagpur,Nara,Chain Snatching,17:15,,Pending
Central Nagpur,Ganeshpeth,Chain Snatching,22:15,2025-03-26,Resolved
North-East Nagpur,Binaki,Theft,22:45,2025-07-05,Pending
North-East Nagpur,Kharbi,Theft,09:15,2025-02-26,Pending
North-East Nagpur,Vaishali Nagar,Fraud,08:45,2025-07-07,Resolved
South-West Nagpur,Sneha Nagar,Fraud,17:00,,Resolved
North-West Nagpur,Kalmeshwar,Theft,02:15,2025-01-12,Pending
Central Nagpur,Ganeshpeth,Chain Snatching,14:45,2025-01-22,Pending
North-West Nagpur,Kalmeshwar,Chain Snatching,23:15,2025-01-28,Resolved
South-West Nagpur,Sneha Nagar,Chain Snatching,02:15,2025-03-31,Pending
Central Nagpur,Mahal,Chain Snatching,04:45,2025-02-19,Resolved
South-West Nagpur,Sneha Nagar,Assault,18:45,2025-03-13,Pending
Central Nagpur,Reshimbagh,Assault,13:45,2025-06-27,Pending
North-West Nagpur,Kalmeshwar,Harassment,07:30,2025-03-28,Resolved
South-West Nagpur,Manish Nagar,Chain Snatching,22:15,2025-05-12,Pending
North-East Nagpur,Vaishali Nagar,Chain Snatching,08:00,2025-04-09,Resolved
Central Nagpur,Mahal,Chain Snatching,00:30,2025-02-17,Resolved
Central Nagpur,Ganeshpeth,Assault,04:45,2025-04-08,Resolved
Central Nagpur,Mahal,Assault,10:00,2025-06-30,Pending
South-West Nagpur,Pratap Nagar,Chain Snatching,13:15,,Resolved
South-West Nagpur,Trimurti Nagar,Chain Snatching,15:30,2025-06-11,Pending
North-East Nagpur,Binaki,Theft,19:45,,Resolved
South-West Nagpur,Manish Nagar,,09:45,2025-06-07,Resolved
North-East Nagpur,Kamptee Road,Fraud,11:45,2025-01-09,Pending
North-East Nagpur,Kamptee Road,Fraud,20:00,2025-02-09,Pending
North-East Nagpur,Kamptee Road,Assault,,2025-06-03,Resolved
North-West Nagpur,Kalmeshwar,Fraud,13:00,2025-04-03,Pending
North-West Nagpur,Kalmeshwar,Chain Snatching,18:00,2025-02-26,Resolved
Central Nagpur,Ganeshpeth,Fraud,21:30,2025-06-24,Resolved
North-East Nagpur,Binaki,Robbery,19:15,2025-05-01,Resolved
North-East Nagpur,Kharbi,Chain Snatching,23:30,2025-03-23,Resolved
North-East Nagpur,Binaki,Fraud,04:00,2025-02-07,Pending
South-West Nagpur,Sneha Nagar,Assault,07:45,2025-04-15,Pending
South-West Nagpur,Pratap Nagar,Assault,20:45,2025-06-17,Pending
North-East Nagpur,Binaki,Chain Snatching,19:15,2025-03-30,Pending
Central Nagpur,Ganeshpeth,Theft,02:00,2025-01-06,Pending
North-West Nagpur,Nara,Harassment,11:00,2025-02-13,Pending
North-West Nagpur,Borgaon,Chain Snatching,00:30,2025-01-16,Pending
North-East Nagpur,Kamptee Road,Fraud,03:30,2025-03-30,Pending
Central Nagpur,Sitabuldi,Harassment,03:15,2025-02-05,Resolved
North-West Nagpur,Nara,Harassment,06:00,2025-02-23,Pending
North-West Nagpur,Kalmeshwar,Assault,02:30,2025-02-26,Pending
Central Nagpur,Ganeshpeth,Assault,02:45,2025-02-24,Pending
North-East Nagpur,Kharbi,Fraud,18:30,2025-01-17,Pending
North-East Nagpur,Kamptee Road,Chain Snatching,22:45,2025-06-01,Pending
North-West Nagpur,Nara,Harassment,15:00,2025-01-11,Resolved
South-West Nagpur,Pratap Nagar,Chain Snatching,,2025-02-20,Resolved
North-West Nagpur,Kalmeshwar,Robbery,16:45,2025-04-05,Pending
North-East Nagpur,Binaki,Theft,08:45,2025-04-04,Resolved
South-West Nagpur,Pratap Nagar,Harassment,,2025-05-04,Pending
Central Nagpur,Sitabuldi,Assault,08:00,2025-02-21,Pending
South-West Nagpur,Pratap Nagar,Fraud,12:15,2025-02-09,Pending
North-East Nagpur,Vaishali Nagar,Harassment,00:00,2025-07-05,Resolved
North-East Nagpur,Vaishali Nagar,Chain Snatching,19:00,2025-06-17,Resolved
Central Nagpur,Sitabuldi,,11:00,2025-03-25,Resolved
Central Nagpur,Reshimbagh,Fraud,16:45,2025-05-28,Resolved
Central Nagpur,Ganeshpeth,Theft,09:00,2025-03-12,Pending
North-West Nagpur,Borgaon,Assault,07:45,2025-05-27,Pending
North-East Nagpur,Binaki,Assault,22:00,2025-04-22,Resolved
North-West Nagpur,Kalmeshwar,Theft,02:30,,Resolved
North-West Nagpur,Nara,Harassment,19:45,2025-01-31,Pending
Central Nagpur,Ganeshpeth,Fraud,05:15,2025-05-18,Pending
North-West Nagpur,Lonara,Robbery,10:00,2025-03-16,Resolved
North-East Nagpur,Vaishali Nagar,Robbery,11:30,2025-03-20,Pending
South-West Nagpur,Manish Nagar,Assault,14:45,2025-06-02,Resolved
South-West Nagpur,Pratap Nagar,Harassment,01:45,2025-01-18,Pending
North-West Nagpur,Kalmeshwar,Assault,06:45,2025-02-12,Resolved
South-West Nagpur,Pratap Nagar,Fraud,15:00,2025-04-06,Resolved
South-West Nagpur,Manish Nagar,Assault,00:45,2025-04-19,Resolved
North-East Nagpur,Kamptee Road,Harassment,19:15,2025-03-07,Resolved
Central Nagpur,Ganeshpeth,Fraud,16:45,2025-06-17,Resolved
North-West Nagpur,Lonara,Fraud,13:00,2025-02-24,Pending
South-West Nagpur,Trimurti Nagar,Assault,11:00,2025-05-10,Pending
Central Nagpur,Sitabuldi,Harassment,02:30,2025-06-23,Pending
North-East Nagpur,Binaki,Fraud,08:15,2025-04-27,Resolved
North-East Nagpur,Kamptee Road,Robbery,15:15,2025-03-27,Pending
Central Nagpur,Reshimbagh,Robbery,15:30,2025-06-20,Resolved
North-East Nagpur,Vaishali Nagar,Robbery,19:30,,Pending
North-West Nagpur,Borgaon,Chain Snatching,00:30,2025-02-17,Pending
North-West Nagpur,Nara,Theft,23:45,2025-05-06,Resolved
Central Nagpur,Sitabuldi,Robbery,23:30,2025-04-14,Resolved
North-East Nagpur,Kamptee Road,Harassment,00:00,2025-01-29,Pending
North-West Nagpur,Borgaon,Chain Snatching,22:00,2025-07-05,Pending
Central Nagpur,Sitabuldi,Fraud,23:30,2025-03-30,Resolved
North-West Nagpur,Borgaon,Harassment,16:45,2025-01-26,Resolved
Central Nagpur,Reshimbagh,Chain Snatching,23:30,2025-02-22,Pending
Central Nagpur,Reshimbagh,Assault,18:00,2025-02-20,Resolved
North-East Nagpur,Kamptee Road,Assault,03:45,2025-03-22,Resolved
South-West Nagpur,Pratap Nagar,Chain Snatching,20:45,2025-04-06,Resolved
North-East Nagpur,Kamptee Road,Fraud,21:45,2025-01-11,Pending
South-West Nagpur,Trimurti Nagar,Chain Snatching,14:30,2025-02-21,Pending
Central Nagpur,Ganeshpeth,Theft,01:15,2025-04-10,Pending
South-West Nagpur,Trimurti Nagar,Fraud,07:30,2025-04-24,Resolved
South-West Nagpur,Trimurti Nagar,Harassment,23:15,2025-02-27,Resolved
Central Nagpur,Reshimbagh,Assault,19:45,2025-05-18,Pending
South-West Nagpur,Manish Nagar,Fraud,03:00,2025-01-30,Resolved
North-East Nagpur,Kharbi,Chain Snatching,03:45,2025-03-24,Resolved
North-East Nagpur,Binaki,Harassment,13:45,2025-03-05,Pending
South-West Nagpur,Manish Nagar,Robbery,23:30,2025-03-05,Pending
Central Nagpur,Ganeshpeth,Harassment,17:15,2025-03-04,Pending
South-West Nagpur,Trimurti Nagar,Harassment,06:00,2025-03-05,Resolved
North-West Nagpur,Nara,Robbery,04:00,2025-04-07,Resolved
South-West Nagpur,Manish Nagar,Fraud,16:30,2025-04-15,Pending
North-East Nagpur,Kharbi,Robbery,15:15,2025-02-15,Resolved
North-East Nagpur,Vaishali Nagar,Robbery,10:30,2025-01-15,Resolved
Central Nagpur,Ganeshpeth,Fraud,09:15,2025-06-18,Resolved
Central Nagpur,Reshimbagh,Assault,04:45,2025-03-24,Pending
North-East Nagpur,Kharbi,Fraud,16:00,,Resolved
North-East Nagpur,Binaki,Theft,09:15,2025-02-11,Resolved
North-East Nagpur,Binaki,Theft,07:30,2025-06-16,Resolved
Central Nagpur,Mahal,Fraud,09:45,2025-02-14,Resolved
Central Nagpur,Mahal,Harassment,10:30,2025-06-08,Resolved
North-West Nagpur,Borgaon,Harassment,06:00,2025-04-14,Pending
Central Nagpur,Ganeshpeth,Theft,23:15,2025-06-09,Resolved
North-East Nagpur,Vaishali Nagar,Fraud,15:45,2025-06-27,Resolved
North-West Nagpur,Kalmeshwar,Assault,,2025-04-28,Resolved
Central Nagpur,Sitabuldi,Harassment,23:00,2025-01-12,Resolved
South-West Nagpur,Sneha Nagar,Assault,10:45,2025-01-24,Pending
North-East Nagpur,Vaishali Nagar,Robbery,,2025-05-08,Resolved
South-West Nagpur,Manish Nagar,Assault,09:45,2025-06-04,Resolved
North-West Nagpur,Lonara,Harassment,16:30,2025-05-13,Resolved
North-West Nagpur,Lonara,Fraud,19:45,2025-06-02,Resolved
Central Nagpur,Mahal,Fraud,00:45,2025-05-18,Resolved
North-West Nagpur,Lonara,,12:00,2025-02-13,Pending
South-West Nagpur,Trimurti Nagar,Harassment,20:00,2025-04-12,Resolved
North-West Nagpur,Kalmeshwar,Harassment,10:00,2025-01-23,Resolved
Central Nagpur,Reshimbagh,Chain Snatching,05:30,2025-07-05,Pending
North-West Nagpur,Nara,Assault,23:15,2025-02-06,Pending
South-West Nagpur,Pratap Nagar,Fraud,05:45,2025-04-12,Resolved
South-West Nagpur,Pratap Nagar,Theft,09:00,2025-06-09,Resolved
South-West Nagpur,Manish Nagar,Robbery,09:15,2025-06-21,Pending
Central Nagpur,Ganeshpeth,Robbery,05:00,2025-04-24,Resolved
South-West Nagpur,Trimurti Nagar,Robbery,12:30,2025-07-05,Resolved
North-East Nagpur,Kamptee Road,Assault,17:45,2025-06-11,Resolved
North-East Nagpur,Kharbi,Theft,,2025-02-15,Resolved
North-East Nagpur,Vaishali Nagar,Assault,10:45,2025-06-25,Resolved
North-East Nagpur,Vaishali Nagar,Theft,00:45,2025-06-17,Resolved
North-East Nagpur,Kharbi,Theft,09:15,2025-06-09,Resolved
North-East Nagpur,Binaki,Robbery,23:15,2025-06-27,Pending
Central Nagpur,Ganeshpeth,Chain Snatching,06:00,2025-03-16,Resolved
North-West Nagpur,Borgaon,Assault,00:15,2025-06-30,Resolved
North-East Nagpur,Binaki,Harassment,10:45,2025-06-26,Pending
North-West Nagpur,Nara,Theft,01:00,2025-05-14,Pending
